,quality
1316,6
1507,6
849,5
82,5
644,5
1513,6
1554,6
910,6
1528,6
987,5
781,5
1181,5
453,7
1544,7
35,6
254,6
1472,6
769,5
921,6
1242,6
1370,5
1141,6
607,6
726,6
1185,6
266,4
1548,5
1047,5
1337,5
534,6
1283,6
704,4
806,7
84,6
1157,7
1532,6
793,5
470,5
316,5
170,4
690,3
1163,5
618,5
875,7
64,5
348,6
1471,5
135,5
531,5
163,5
760,5
222,5
1246,5
1252,5
1414,5
1228,7
1578,6
1288,5
935,6
670,5
765,6
1080,6
277,6
796,5
1202,8
679,5
246,5
948,7
337,5
203,5
252,5
435,5
144,6
437,6
1308,5
26,5
1152,5
868,6
686,5
970,6
1374,3
770,6
552,6
836,7
519,5
62,7
1479,5
675,5
498,8
30,5
591,6
1029,7
627,5
988,5
157,5
10,5
636,5
1553,5
38,4
1117,6
1232,5
1085,5
949,7
150,6
9,5
873,7
199,4
699,6
108,6
989,6
924,5
747,5
758,5
1156,7
1466,7
293,6
908,6
20,6
1428,5
1218,6
1151,6
1519,5
16,7
649,6
678,5
1179,6
976,5
1074,5
1009,5
263,5
1286,6
715,6
767,5
1249,6
3,6
1590,6
1170,6
565,5
1028,6
345,5
1039,6
693,5
1369,4
737,6
926,6
1169,6
1024,7
628,6
808,5
128,7
872,4
229,5
922,6
597,6
871,5
1005,7
596,6
520,6
861,6
382,6
78,5
1530,6
1373,5
335,7
1004,5
727,5
1456,6
978,7
784,5
756,6
1184,5
1088,7
340,6
960,6
629,5
1360,5
1130,6
366,7
487,6
1486,5
706,5
1229,5
501,7
1290,5
315,6
1523,5
1178,5
1376,5
1343,6
605,6
1038,7
91,6
31,6
721,5
619,5
541,6
1430,5
992,6
370,5
1065,6
492,7
261,4
272,5
752,5
995,6
740,6
122,5
777,6
831,6
197,6
342,6
425,7
794,6
1341,6
1241,5
1100,6
331,6
674,6
1492,5
638,7
336,6
202,5
1182,6
474,6
1192,7
1078,5
274,5
640,5
624,5
1322,5
559,6
303,5
1123,6
1366,5
1419,5
248,6
1219,6
1586,6
401,6
858,7
505,7
174,5
2,5
243,7
731,5
535,6
446,5
689,5
100,6
1421,5
1214,6
1455,6
1099,5
1145,6
488,7
1390,6
1315,6
43,5
416,6
1243,5
1429,5
33,6
194,5
1205,7
106,5
632,6
880,5
951,7
1166,5
209,7
798,6
1338,5
196,5
621,5
881,6
555,5
172,6
1201,7
560,5
1431,6
1448,5
1011,6
944,7
1550,5
847,6
735,5
1262,5
1022,5
301,6
1543,6
1404,6
1263,4
27,5
321,5
1226,5
923,6
801,5
646,5
1036,7
1133,7
161,4
147,5
810,5
614,6
822,5
609,6
462,5
358,7
1110,6
1200,6
148,6
286,6
326,7
452,6
185,5
1273,5
1476,5
235,6
1546,5
1257,6
230,7
387,6
859,6
490,6
1587,6
530,6
681,6
104,5
63,5
232,6
787,6
1148,6
1051,5
92,5
373,5
1208,7
367,5
729,6
212,6
571,6
1058,7
328,6
527,6
1077,5
1384,5
723,5
1222,6
874,7
1484,4
368,5
549,6
51,6
1037,5
1398,7
671,5
1250,6
1347,5
478,5
593,5
46,5
1203,5
432,6
1097,5
1595,6
577,5
1357,6
680,5
1361,5
1060,6
1066,7
1033,6
339,7
920,5
1585,6
932,6
1168,6
869,6
977,5
843,5
385,6
878,6
749,6
1378,6
155,5
1312,5
476,5
359,6
980,6
957,6
1400,5
1295,5
1538,5
971,6
276,6
548,6
1172,6
651,5
917,6
891,5
1474,5
101,6
65,5
406,6
708,6
1562,5
1443,5
15,5
1583,5
39,5
12,5
1044,6
975,5
1107,7
1417,7
900,5
929,7
568,6
77,6
346,7
1575,6
876,4
422,5
608,6
1527,6
1000,7
1207,5
324,6
1191,5
961,5
524,5
934,5
983,6
1175,6
238,6
751,5
66,5
1176,4
743,5
1006,7
475,5
661,5
716,5
750,5
1289,5
6,5
672,5
1426,6
393,5
1224,6
1331,5
956,6
645,7
175,5
630,6
191,6
133,6
139,5
1574,6
395,7
253,5
1221,6
828,8
259,7
1122,6
1135,6
611,5
862,5
119,6
418,6
220,6
463,5
1190,6
725,5
428,5
268,6
1433,7
738,5
511,6
1269,8
1138,5
1397,5
1140,6
151,4
171,6
650,5
455,8
1217,6
1254,5
556,6
1026,6
820,5
125,5
659,4
1427,5
1183,5
1111,7
1480,4
1220,6
1577,6
620,5
730,5
525,5
1506,6
72,5
409,4
54,6
1161,6
1569,6
1423,4
292,6
814,6
371,6
1336,5
1453,5
656,5
350,6
1413,5
447,5
1116,6
1073,6
1260,5
1488,5
116,6
800,5
1457,5
200,7
736,5
550,6
528,6
697,6
818,5
1349,5
754,6
1239,4
1522,5
306,5
332,6
720,5
459,3
291,5
694,5
216,5
1154,6
1052,5
724,4
146,5
420,7
993,5
853,6
167,4
612,6
1348,5
308,6
984,5
558,6
1147,7
120,5
634,5
225,6
1142,6
974,7
574,6
1478,3
1556,5
782,5
889,5
53,5
666,6
1533,5
381,6
807,7
129,5
280,6
1268,6
457,5
186,5
537,6
118,6
140,5
713,5
257,5
1134,7
786,5
1368,6
1329,6
439,5
897,6
991,5
1187,6
1418,5
