,quality
1406,6
58,5
1092,6
69,6
553,5
489,6
1199,6
364,7
424,5
355,6
434,6
855,7
1489,6
1259,6
1468,7
1015,6
320,7
728,5
813,4
1452,7
1564,5
288,7
1510,6
433,5
710,5
1440,7
1435,6
1571,6
162,6
206,7
1567,5
21,5
785,5
160,5
857,7
88,5
1114,6
695,6
832,3
187,5
305,6
1342,6
1412,6
1253,5
497,5
804,6
778,5
1425,6
477,6
124,5
1186,5
1580,6
483,5
1541,7
67,5
664,5
529,5
639,6
1536,6
52,6
24,6
456,5
1105,5
1310,5
40,5
815,5
59,6
1437,5
32,5
375,7
893,5
499,6
1278,6
592,5
598,6
911,6
302,5
841,5
1008,7
692,5
400,5
950,7
1526,6
1213,6
604,6
1447,5
938,7
1113,6
17,5
696,6
701,6
1007,7
1500,5
964,6
812,5
959,5
1279,7
969,5
377,7
648,7
1512,6
1057,5
562,5
1059,7
1272,5
244,7
1139,6
208,5
982,6
289,5
1481,5
1149,6
1048,6
1598,6
1012,5
1321,6
1180,6
582,5
87,5
1416,5
1534,7
127,5
1502,5
1215,6
491,7
1287,5
479,6
657,7
1560,5
469,5
1062,6
1473,5
249,6
465,5
1597,5
1515,6
676,6
667,6
1483,5
595,5
156,5
850,5
1121,6
1496,5
587,5
258,5
864,5
205,7
1594,5
134,6
327,5
576,4
427,6
480,5
234,6
89,5
586,7
349,6
1540,6
1304,5
278,8
856,6
1204,7
1531,5
1265,6
1320,5
1332,6
825,5
138,5
61,5
941,7
865,5
1462,6
1091,6
688,5
294,6
224,4
178,5
909,6
999,6
1049,6
242,6
123,5
1470,5
130,5
211,6
986,7
981,5
1346,5
1511,5
1158,6
105,5
719,5
783,5
1411,6
912,6
580,5
1589,5
885,5
1375,5
231,6
543,6
1537,6
405,6
826,7
1449,8
1402,6
1131,5
179,5
317,6
1424,6
354,6
247,5
1177,7
915,6
573,4
906,5
1031,7
925,7
76,5
347,6
1195,6
311,6
590,5
742,5
1386,5
297,5
1300,6
506,7
1592,6
544,6
94,4
384,5
115,6
1143,6
250,6
201,5
510,5
1591,6
603,6
1362,6
1238,4
717,5
184,6
839,5
245,6
1579,5
546,6
1539,5
1096,6
1441,6
513,7
1408,7
714,5
575,6
748,6
1509,5
1381,5
83,5
57,5
1576,6
1235,4
665,5
117,6
1501,5
99,6
809,6
732,5
1415,5
80,5
901,7
1132,7
1566,6
226,6
931,5
939,5
1529,6
1367,6
1454,6
300,6
60,5
542,5
1475,7
1018,6
207,5
946,7
210,6
933,5
1436,5
509,7
979,5
241,6
567,6
867,6
131,5
1046,6
698,5
500,6
860,5
1294,6
1231,5
1460,6
1032,5
1353,5
73,4
1115,6
443,7
55,5
842,6
1555,7
626,5
1292,6
1330,6
1464,5
1016,7
165,5
7,7
219,5
1350,5
